ID,fluxo_AH,Fluxo iOD907
aadjd,0.0,0.0
aadje,0.0,0.0
aadjf,0.0,0.0
aadjg,0.0,0.0
aadjh,0.0,0.0
aadji,0.0,-0.021768163720318603
aadjj,0.0,0.0
aaeaa,0.0,0.1872484396854984
aaeab,0.0,0.0
aaeac,0.0,0.0
aaead,0.0,1.8973538018496328e-19
EX_00615_,0.0,0.0
aaeae,0.010191636,0.02659255153509299
aaeaf,-0.008342682,0.0
aaeag,0.0,0.0
EX_00618_,0.0,0.0
aaeah,0.0,-0.23392179112541053
aaeai,0.0,0.0
EX_00619_,0.0,0.0
aaeaj,0.0,0.0
aaeba,0.0,0.0
aaebb,0.0,0.0
aaebc,0.0,0.0
aaebd,0.0,0.0
aaebe,0.0,0.0
aaebf,0.011360556,0.02964255894709253
aaebg,5.83983999999996e-06,1.5237617018180081e-05
aaebh,0.0,0.0
aaebi,0.0,0.0
aaebj,0.0,0.0
aaeca,0.0,0.0
aaecb,0.0,0.0
aaecc,0.0,0.0
aaecd,0.0,0.0
aaece,0.0,4.718447854656915e-16
aaecf,0.011360556,0.02964255894709253
aaecg,0.0,0.0
aaech,0.0,0.0
aaeci,0.0,0.0
EX_00638_,0.0,0.0
aaecj,0.0,0.0
EX_00640_,0.0,0.0
aaeda,0.0,0.0
aaedb,0.0,0.0
aaedc,0.0,0.0
aaedd,0.0,-6.938893903907228e-18
EX_00646_,0.0,-6.938893903907228e-18
aaede,-0.00432497,-0.011284938709813749
aaedf,0.0,0.0
aaedg,0.0,0.0
aaedh,0.0,0.0
aaedi,0.0,0.0
aaedj,0.0,0.0
aaeea,0.0,0.0
aaeeb,0.0,0.0
aaeec,0.0,0.0
aaeed,0.22173547534287813,0.019661919800184516
aaeee,0.0,0.0
aaeef,-0.00458864,-1.0630385460785874e-14
EX_00650_,0.0,0.0
aaeeg,0.0,0.0
aaeeh,0.0,0.0
aaeei,0.0,0.0
aaeej,0.0,0.0
aaefa,0.0,0.0
aaefb,0.0,0.0
aaefc,0.0,0.0
aaefd,0.0,0.0
EX_00654_,0.0,0.0
aaefe,0.0,0.0
aaeff,0.0,0.0
aaefg,0.0,0.0
aaefh,0.5459153358189629,0.10488539014110977
aaefi,0.0,0.0
aaefj,0.0,4.718447854656915e-16
aaega,0.0,0.8955509278041917
aaegb,0.0,0.0
aaegc,0.0,0.0
aaegd,0.0,0.0
aaege,0.0,0.0
aaegf,0.0,0.0
aaegg,0.0,0.0
aaegh,0.0,0.0
aaegi,0.0,0.0
aaegj,0.0,0.0
aaeha,0.0,0.0
aaehb,0.0,0.0
aaehc,0.0,0.0
aaehd,0.0,0.0
aaehe,0.0,0.0
aaehf,-3.4e-08,-8.871458440952591e-08
aaehg,0.0240693139999992,0.0
aaehh,0.0,0.0
aaehi,0.0,0.0
EX_00676_,0.0,0.0
aaehj,0.0,0.0
aaeia,0.0,0.0
aaeib,0.0,0.0
aaeic,0.0,0.0
aaeid,0.0,0.0
aaeie,0.009839123999998395,0.01625907674307386
aaeif,0.0,0.0
aaeig,0.003142484000000001,0.008199534178634832
aaeih,0.0,0.0
aaeii,0.0,0.0
